EDU1_pos;EDU1_text;EDU2_pos;EDU2_text;Text_id;Relation
36;Было, правда, не очень понятно,;37;почему грустят издатели;0;interpretation-evaluation_SN
36;Было, правда, не очень понятно,;38;— то ли им было жалко денег;0;no_relation
36;Было, правда, не очень понятно,;39;(совсем недорого, кстати, по рубль двадцать за 2 секунды работы сканера);0;no_relation
36;Было, правда, не очень понятно,;40;, то ли они грустили, что Google с его сервисом Google Books далеко,;0;no_relation
36;Было, правда, не очень понятно,;41;то ли предчувствовали, что в этом сканере их жизнь и закончится.;0;no_relation
37;почему грустят издатели;38;— то ли им было жалко денег;0;elaboration_NS
37;почему грустят издатели;39;(совсем недорого, кстати, по рубль двадцать за 2 секунды работы сканера);0;no_relation
37;почему грустят издатели;40;, то ли они грустили, что Google с его сервисом Google Books далеко,;0;elaboration_NS
37;почему грустят издатели;41;то ли предчувствовали, что в этом сканере их жизнь и закончится.;0;elaboration_NS
38;— то ли им было жалко денег;39;(совсем недорого, кстати, по рубль двадцать за 2 секунды работы сканера);0;elaboration_NS
38;— то ли им было жалко денег;40;, то ли они грустили, что Google с его сервисом Google Books далеко,;0;joint_M
38;— то ли им было жалко денег;41;то ли предчувствовали, что в этом сканере их жизнь и закончится.;0;joint_M
39;(совсем недорого, кстати, по рубль двадцать за 2 секунды работы сканера);40;, то ли они грустили, что Google с его сервисом Google Books далеко,;0;no_relation
39;(совсем недорого, кстати, по рубль двадцать за 2 секунды работы сканера);41;то ли предчувствовали, что в этом сканере их жизнь и закончится.;0;no_relation
40;, то ли они грустили, что Google с его сервисом Google Books далеко,;41;то ли предчувствовали, что в этом сканере их жизнь и закончится.;0;joint_M
44;Им было чем заняться:;45;мини-типография жужжала;0;elaboration_NS
44;Им было чем заняться:;46;и гудела,;0;elaboration_NS
44;Им было чем заняться:;47;потому что к стенду Xerox подходили посетители выставки;0;elaboration_NS
44;Им было чем заняться:;48;и не могли удержаться от участия в редком пока аттракционе.;0;elaboration_NS
45;мини-типография жужжала;46;и гудела,;0;joint_M
45;мини-типография жужжала;47;потому что к стенду Xerox подходили посетители выставки;0;no_relation
45;мини-типография жужжала;48;и не могли удержаться от участия в редком пока аттракционе.;0;no_relation
46;и гудела,;47;потому что к стенду Xerox подходили посетители выставки;0;no_relation
46;и гудела,;48;и не могли удержаться от участия в редком пока аттракционе.;0;no_relation
47;потому что к стенду Xerox подходили посетители выставки;48;и не могли удержаться от участия в редком пока аттракционе.;0;joint_M
49;Жмёшь на кнопку,;50;платишь деньги,;0;sequence_M
49;Жмёшь на кнопку,;51;и через 15— 20 минут получаешь ещё тёплую книжку.;0;sequence_M
50;платишь деньги,;51;и через 15— 20 минут получаешь ещё тёплую книжку.;0;sequence_M
53;Выбор был невелик;54;— цифровые материалы для нескольких книг были предоставлены издательством «Альпина Паблишерз».;0;elaboration_NS
55;В общем, было даже не важно,;56;какие книги можно заказать,;0;interpretation-evaluation_SN
55;В общем, было даже не важно,;57;главное;0;no_relation
55;В общем, было даже не важно,;58;— их можно было тут же получить.;0;no_relation
56;какие книги можно заказать,;57;главное;0;no_relation
56;какие книги можно заказать,;58;— их можно было тут же получить.;0;no_relation
57;главное;58;— их можно было тут же получить.;0;interpretation-evaluation_SN
59;Мини-типография явно не походила на «букмашину»,;60;но всё ещё впереди.;0;contrast_M
61;В конце концов, кризис — самое подходящее время, чтобы задуматься над тем, стоит ли вкладывать деньги в тиражи,;62;если нет никакой гарантии, что их кто-то купит.;0;condition_NS
64;##### Оптимистичное настроение не покидало и участников пресс-конференции,;65;которую вёл председатель оргкомитета «Книгабайта» Андрей Гельмиза.;0;elaboration_NS
66;«За два года мы создали рынок электронных книг в России»;67;, — с места в карьер начал Алексей Кузьмин, директор крупнейшего онлайнового магазина электронных книг «Литрес».;0;attribution_NS
71;При невеликой средней цене художественной книги;72;(это большая часть ассортимента в «Литресе»);0;elaboration_NS
71;При невеликой средней цене художественной книги;73;— 30 рублей —;0;elaboration_NS
71;При невеликой средней цене художественной книги;74;набирается приятная сумма, сравнимая с оборотами довольно большого книжного магазина.;0;same-unit_M
72;(это большая часть ассортимента в «Литресе»);73;— 30 рублей —;0;no_relation
72;(это большая часть ассортимента в «Литресе»);74;набирается приятная сумма, сравнимая с оборотами довольно большого книжного магазина.;0;no_relation
73;— 30 рублей —;74;набирается приятная сумма, сравнимая с оборотами довольно большого книжного магазина.;0;same-unit_M
77;Схема продажи чрезвычайно занимательна;78;и должна затронуть даже чёрствое сердце старого книжника;0;joint_M
77;Схема продажи чрезвычайно занимательна;79;— книги продаются, в сущности, побайтно:;0;preparation_SN
77;Схема продажи чрезвычайно занимательна;80;абонент сети, он же читатель, просто платит за скачанные байты.;0;no_relation
78;и должна затронуть даже чёрствое сердце старого книжника;79;— книги продаются, в сущности, побайтно:;0;preparation_SN
78;и должна затронуть даже чёрствое сердце старого книжника;80;абонент сети, он же читатель, просто платит за скачанные байты.;0;no_relation
79;— книги продаются, в сущности, побайтно:;80;абонент сети, он же читатель, просто платит за скачанные байты.;0;elaboration_NS
81;Гениальная бизнес-модель,;82;которая не снилась ни Гуттенбергу, ни Сытину!;0;elaboration_NS
85;А «Литрес» тут,;86;и, кажется, неплохо себя чувствует.;0;joint_M
87;Даже разрабатывает новый формат электронных книг,;88;твёрдо держась старой русской традиции,;0;background_NS
87;Даже разрабатывает новый формат электронных книг,;89;чтобы всё было по-своему.;0;no_relation
88;твёрдо держась старой русской традиции,;89;чтобы всё было по-своему.;0;elaboration_NS
90;Разработанный российскими любителями электронных книг формат FB2 уже устарел,;91;и вот на смену ему «Литрес» готовит новый — FB3,;0;cause-effect_SN
90;Разработанный российскими любителями электронных книг формат FB2 уже устарел,;92;который, конечно же, будет лучше и удобнее, чем формат EPUB,;0;no_relation
90;Разработанный российскими любителями электронных книг формат FB2 уже устарел,;93;разработанный Международным форумом электронного книгоиздания;0;no_relation
90;Разработанный российскими любителями электронных книг формат FB2 уже устарел,;94;и по неведомым причинам и по протекции IT-гигантов Adobe, Google и Sony претендующий на универсальность.;0;no_relation
91;и вот на смену ему «Литрес» готовит новый — FB3,;92;который, конечно же, будет лучше и удобнее, чем формат EPUB,;0;elaboration_NS
91;и вот на смену ему «Литрес» готовит новый — FB3,;93;разработанный Международным форумом электронного книгоиздания;0;no_relation
91;и вот на смену ему «Литрес» готовит новый — FB3,;94;и по неведомым причинам и по протекции IT-гигантов Adobe, Google и Sony претендующий на универсальность.;0;no_relation
92;который, конечно же, будет лучше и удобнее, чем формат EPUB,;93;разработанный Международным форумом электронного книгоиздания;0;elaboration_NS
92;который, конечно же, будет лучше и удобнее, чем формат EPUB,;94;и по неведомым причинам и по протекции IT-гигантов Adobe, Google и Sony претендующий на универсальность.;0;elaboration_NS
93;разработанный Международным форумом электронного книгоиздания;94;и по неведомым причинам и по протекции IT-гигантов Adobe, Google и Sony претендующий на универсальность.;0;joint_M
96;В ответ на вопрос ведущего,;97;не боится ли он электронных книг,;0;attribution_SN
96;В ответ на вопрос ведущего,;98;директор по электронной коммерции издательства «Эксмо» Сергей Анурьев со смехом отверг эти подозрения.;0;no_relation
97;не боится ли он электронных книг,;98;директор по электронной коммерции издательства «Эксмо» Сергей Анурьев со смехом отверг эти подозрения.;0;solutionhood_SN
99;Действительно, не «Литреса» же бояться «Эксмо»,;100;если большая часть ассортимента «главного магазина электронных книг страны» формируется книгами именно этого издательства.;0;cause-effect_NS
101;Этот рынок,;102;отметил издатель,;0;same-unit_M
101;Этот рынок,;103;растёт экстенсивно,;0;same-unit_M
101;Этот рынок,;104;но пока он очень мал.;0;same-unit_M
102;отметил издатель,;103;растёт экстенсивно,;0;no_relation
102;отметил издатель,;104;но пока он очень мал.;0;no_relation
103;растёт экстенсивно,;104;но пока он очень мал.;0;contrast_M
105;В обороте «Эксмо»,;106;признался Сергей Анурьев,;0;no_relation
105;В обороте «Эксмо»,;107;электронные книги составляют не более нескольких долей процента.;0;same-unit_M
106;признался Сергей Анурьев,;107;электронные книги составляют не более нескольких долей процента.;0;attribution_SN
110;Их отношение к электронным книгам пока опасливо-пренебрежительное:;111;пираты сопрут;0;elaboration_NS
110;Их отношение к электронным книгам пока опасливо-пренебрежительное:;112;или денег не светит.;0;elaboration_NS
111;пираты сопрут;112;или денег не светит.;0;contrast_M
115;Отвечая на вопрос «Частного корреспондента» о сущности революционной сделки, которую «Литрес» заключил с «Либрусек»,;116;популярной в интернете пиратской библиотекой русскоязычных книг,;0;elaboration_NS
115;Отвечая на вопрос «Частного корреспондента» о сущности революционной сделки, которую «Литрес» заключил с «Либрусек»,;117;базирующейся в Эквадоре,;0;no_relation
115;Отвечая на вопрос «Частного корреспондента» о сущности революционной сделки, которую «Литрес» заключил с «Либрусек»,;118;Алексей Кузьмин сказал:;0;no_relation
115;Отвечая на вопрос «Частного корреспондента» о сущности революционной сделки, которую «Литрес» заключил с «Либрусек»,;119;«Основные потери у нас от Эквадора на новинках.;0;no_relation
116;популярной в интернете пиратской библиотекой русскоязычных книг,;117;базирующейся в Эквадоре,;0;elaboration_NS
116;популярной в интернете пиратской библиотекой русскоязычных книг,;118;Алексей Кузьмин сказал:;0;no_relation
116;популярной в интернете пиратской библиотекой русскоязычных книг,;119;«Основные потери у нас от Эквадора на новинках.;0;no_relation
117;базирующейся в Эквадоре,;118;Алексей Кузьмин сказал:;0;no_relation
117;базирующейся в Эквадоре,;119;«Основные потери у нас от Эквадора на новинках.;0;no_relation
118;Алексей Кузьмин сказал:;119;«Основные потери у нас от Эквадора на новинках.;0;no_relation
121;И теперь мы даём им информацию о новых книгах;122;— автор, название и т.д. —;0;elaboration_NS
121;И теперь мы даём им информацию о новых книгах;123;заранее.;0;same-unit_M
122;— автор, название и т.д. —;123;заранее.;0;no_relation
124;Всё это обрабатывается,;125;и если эти книги кто-то закачивает на «Либрусек»,;0;no_relation
124;Всё это обрабатывается,;126;то их скачивание блокируется на 28 дней».;0;joint_M
125;и если эти книги кто-то закачивает на «Либрусек»,;126;то их скачивание блокируется на 28 дней».;0;condition_SN
1;##### БРЮССЕЛЬ –;2;В этом году проводится огромное количество саммитов,;1;no_relation
1;##### БРЮССЕЛЬ –;3;однако Всемирный саммит по продовольственной безопасности имеет право на то, чтобы на него обратили особое внимание.;1;no_relation
2;В этом году проводится огромное количество саммитов,;3;однако Всемирный саммит по продовольственной безопасности имеет право на то, чтобы на него обратили особое внимание.;1;contrast_M
4;Эта встреча,;5;которая будет проходить в Риме с 16 по 18 ноября,;1;elaboration_NS
4;Эта встреча,;6;является олицетворением столь необходимой движущей политической силы,;1;no_relation
4;Эта встреча,;7;направленной на решение трех связанных проблем – одних из наиболее сложных в наши дни: безопасность пищи, биологическое разнообразие и изменение климата.;1;no_relation
5;которая будет проходить в Риме с 16 по 18 ноября,;6;является олицетворением столь необходимой движущей политической силы,;1;no_relation
5;которая будет проходить в Риме с 16 по 18 ноября,;7;направленной на решение трех связанных проблем – одних из наиболее сложных в наши дни: безопасность пищи, биологическое разнообразие и изменение климата.;1;no_relation
6;является олицетворением столь необходимой движущей политической силы,;7;направленной на решение трех связанных проблем – одних из наиболее сложных в наши дни: безопасность пищи, биологическое разнообразие и изменение климата.;1;elaboration_NS
9;Более чем миллиарду человек в мире сегодня не хватает продовольствия для восполнения их ежедневной потребности в пище,;10;а в развивающихся странах ситуация еще сильнее ухудшается.;1;joint_M
12;Как возможно такое, чтобы в двадцать первом веке,;13;когда нам удалось высадиться на Луне;1;background_NS
12;Как возможно такое, чтобы в двадцать первом веке,;14;и вернуться обратно,;1;background_NS
12;Как возможно такое, чтобы в двадцать первом веке,;15;мы все еще не можем прокормить каждого жителя нашей планеты?;1;same-unit_M
13;когда нам удалось высадиться на Луне;14;и вернуться обратно,;1;joint_M
13;когда нам удалось высадиться на Луне;15;мы все еще не можем прокормить каждого жителя нашей планеты?;1;no_relation
14;и вернуться обратно,;15;мы все еще не можем прокормить каждого жителя нашей планеты?;1;no_relation
16;Кроме того, высокопоставленные политики должны признать, что продовольственная нестабильность связана с продолжительным эффектом от экономического кризиса и продолжающимися изменениями климата,;17;а также то, что это представляет собой не меньшую угрозу нашему глобальному сообществу.;1;joint_M
18;##### Если быть справедливым,;19;то мировые лидеры уже дали свой ответ.;1;condition_SN
20;На недавнем саммите «Большой Восьмерки» в Л’Акуиле (Италия), мы дали твердое обязательство «действовать масштабно и безотлагательно;21;для достижения глобальной продовольственной безопасности»,;1;purpose_NS
20;На недавнем саммите «Большой Восьмерки» в Л’Акуиле (Италия), мы дали твердое обязательство «действовать масштабно и безотлагательно;22;и мы дали обещание за три года выделить;1;no_relation
20;На недавнем саммите «Большой Восьмерки» в Л’Акуиле (Италия), мы дали твердое обязательство «действовать масштабно и безотлагательно;23;для этой цели;1;no_relation
20;На недавнем саммите «Большой Восьмерки» в Л’Акуиле (Италия), мы дали твердое обязательство «действовать масштабно и безотлагательно;24;20 миллиардов долларов.;1;no_relation
21;для достижения глобальной продовольственной безопасности»,;22;и мы дали обещание за три года выделить;1;no_relation
21;для достижения глобальной продовольственной безопасности»,;23;для этой цели;1;no_relation
21;для достижения глобальной продовольственной безопасности»,;24;20 миллиардов долларов.;1;no_relation
22;и мы дали обещание за три года выделить;23;для этой цели;1;purpose_NS
22;и мы дали обещание за три года выделить;24;20 миллиардов долларов.;1;same-unit_M
23;для этой цели;24;20 миллиардов долларов.;1;no_relation
25;Это серьезное обязательство,;26;но его может оказаться недостаточно;1;contrast_M
25;Это серьезное обязательство,;27;– необходимо сделать намного больше;1;no_relation
25;Это серьезное обязательство,;28;для того, чтобы увеличить сельскохозяйственное производство,;1;no_relation
25;Это серьезное обязательство,;29;освободить торговый потенциал;1;no_relation
25;Это серьезное обязательство,;30;для решения проблемы продовольственной нестабильности,;1;no_relation
26;но его может оказаться недостаточно;27;– необходимо сделать намного больше;1;evidence_NS
26;но его может оказаться недостаточно;28;для того, чтобы увеличить сельскохозяйственное производство,;1;no_relation
26;но его может оказаться недостаточно;29;освободить торговый потенциал;1;evidence_NS
26;но его может оказаться недостаточно;30;для решения проблемы продовольственной нестабильности,;1;no_relation
26;но его может оказаться недостаточно;31;а также бороться с усиливающимся влиянием изменения климата на сельское хозяйство.;1;evidence_NS
27;– необходимо сделать намного больше;28;для того, чтобы увеличить сельскохозяйственное производство,;1;purpose_NS
27;– необходимо сделать намного больше;29;освободить торговый потенциал;1;no_relation
27;– необходимо сделать намного больше;30;для решения проблемы продовольственной нестабильности,;1;no_relation
27;– необходимо сделать намного больше;31;а также бороться с усиливающимся влиянием изменения климата на сельское хозяйство.;1;joint_M
28;для того, чтобы увеличить сельскохозяйственное производство,;29;освободить торговый потенциал;1;no_relation
28;для того, чтобы увеличить сельскохозяйственное производство,;30;для решения проблемы продовольственной нестабильности,;1;no_relation
28;для того, чтобы увеличить сельскохозяйственное производство,;31;а также бороться с усиливающимся влиянием изменения климата на сельское хозяйство.;1;no_relation
29;освободить торговый потенциал;30;для решения проблемы продовольственной нестабильности,;1;purpose_NS
29;освободить торговый потенциал;31;а также бороться с усиливающимся влиянием изменения климата на сельское хозяйство.;1;joint_M
30;для решения проблемы продовольственной нестабильности,;31;а также бороться с усиливающимся влиянием изменения климата на сельское хозяйство.;1;no_relation
32;##### Европейская Комиссия через множество различных инструментов также дала свой ответ,;33;предоставив финансовые средства для продовольственной безопасности.;1;elaboration_NS
34;Наша программа Евросоюза по распределению продовольствия,;35;принятая в прошлом году,;1;elaboration_NS
34;Наша программа Евросоюза по распределению продовольствия,;36;позволяет привлечь дополнительные 1,5 миллиарда долларов;1;no_relation
34;Наша программа Евросоюза по распределению продовольствия,;37;для быстрого ответа на рост цен на продукты питания.;1;no_relation
35;принятая в прошлом году,;36;позволяет привлечь дополнительные 1,5 миллиарда долларов;1;no_relation
35;принятая в прошлом году,;37;для быстрого ответа на рост цен на продукты питания.;1;no_relation
36;позволяет привлечь дополнительные 1,5 миллиарда долларов;37;для быстрого ответа на рост цен на продукты питания.;1;purpose_NS
38;А в течение ближайших трех лет мы привлечем еще 4 миллиарда долларов;39;для финансирования действий, способных помочь странам улучшить свою продовольственную безопасность;1;purpose_NS
38;А в течение ближайших трех лет мы привлечем еще 4 миллиарда долларов;40;и приспособиться к изменению климата.;1;purpose_NS
39;для финансирования действий, способных помочь странам улучшить свою продовольственную безопасность;40;и приспособиться к изменению климата.;1;joint_M
41;##### Выделение дополнительных средств на решение проблем продовольственной безопасности, помимо прочего, должно являться одним из ключевых пунктов финансового пакета,;42;который ЕС будет твердо поддерживать на следующем важном событии в календаре саммитов:;1;elaboration_NS
41;##### Выделение дополнительных средств на решение проблем продовольственной безопасности, помимо прочего, должно являться одним из ключевых пунктов финансового пакета,;43;декабрьской Копенгагенской конференции по проблемам климата.;1;no_relation
42;который ЕС будет твердо поддерживать на следующем важном событии в календаре саммитов:;43;декабрьской Копенгагенской конференции по проблемам климата.;1;elaboration_NS
44;Если мы хотим, чтобы фермеры могли успешно приспособиться к изменению моделей погоды, а также к увеличивающимся масштабам и частоте чрезвычайных метеорологических явлений,;45;то это потребует существенных инвестиций.;1;condition_SN
46;Такие изменения сильнее всего затрагивают наиболее бедное население,;47;а глобальные тенденции маскируют глубоко региональные различия.;1;joint_M
49;Если мы не будем действовать быстро,;50;то 40 самых бедных стран, в основном в Африканском районе Сахары и Латинской Америке, к 2080 году потеряют от 10% до 20% от своих основных посевов зерновых культур;1;condition_SN
49;Если мы не будем действовать быстро,;51;из-за засухи.;1;no_relation
50;то 40 самых бедных стран, в основном в Африканском районе Сахары и Латинской Америке, к 2080 году потеряют от 10% до 20% от своих основных посевов зерновых культур;51;из-за засухи.;1;cause-effect_NS
53;Влияние биологической вариативности часто понимается не полностью,;54;что означает, что мы недооценили его вклад в решение глобальных проблем.;1;interpretation-evaluation_NS
55;Чем более разнообразна вариативность жизненных форм в рамках определенной экосистемы,;56;тем легче она приспосабливается.;1;condition_SN
